product_cat_id;product_id;brand;product_line;product_class;product_size
108;97;Solex;Standard;medium;large
109;100;Norco Bicycles;Road;medium;medium
110;74;WeareA2B;Standard;medium;medium
111;71;Solex;Standard;high;large
112;1;Giant Bicycles;Touring;medium;large
113;34;Norco Bicycles;Road;high;large
114;0;Giant Bicycles;Standard;medium;medium
115;81;Norco Bicycles;Standard;medium;small
116;19;OHM Cycles;Road;high;large
117;57;WeareA2B;Touring;medium;large
118;0;Trek Bicycles;Road;medium;medium
119;23;Norco Bicycles;Mountain;low;small
120;5;Giant Bicycles;Standard;high;medium
121;51;OHM Cycles;Standard;high;medium
122;59;WeareA2B;Standard;medium;small
123;63;Solex;Standard;medium;medium
124;40;OHM Cycles;Standard;high;medium
125;80;Trek Bicycles;Standard;medium;large
126;82;Norco Bicycles;Standard;high;medium
127;40;Trek Bicycles;Road;medium;large
128;2;Giant Bicycles;Road;low;small
129;8;Solex;Road;medium;small
130;13;Solex;Standard;medium;medium
131;46;OHM Cycles;Standard;low;medium
132;30;Solex;Standard;high;medium
133;7;Giant Bicycles;Standard;medium;small
134;63;WeareA2B;Standard;medium;medium
135;48;WeareA2B;Standard;medium;medium
136;38;Solex;Standard;medium;medium
137;68;OHM Cycles;Standard;medium;medium
138;18;Solex;Standard;medium;medium
139;64;Giant Bicycles;Standard;high;small
140;0;OHM Cycles;Standard;high;medium
141;25;OHM Cycles;Standard;high;medium
142;87;OHM Cycles;Standard;medium;medium
143;61;Norco Bicycles;Standard;medium;small
144;58;OHM Cycles;Road;medium;medium
145;86;Norco Bicycles;Road;high;large
146;59;Solex;Standard;medium;large
147;83;Solex;Touring;medium;large
148;69;Norco Bicycles;Road;medium;large
149;17;WeareA2B;Touring;medium;large
150;43;Solex;Standard;medium;medium
151;34;WeareA2B;Standard;medium;medium
152;97;OHM Cycles;Road;medium;medium
153;9;Norco Bicycles;Standard;medium;small
154;28;Solex;Road;medium;small
155;4;Solex;Standard;medium;medium
156;52;OHM Cycles;Road;medium;medium
157;29;Norco Bicycles;Road;medium;medium
158;21;WeareA2B;Touring;medium;medium
159;62;Solex;Standard;high;medium
160;66;Giant Bicycles;Road;low;small
161;85;WeareA2B;Standard;medium;medium
162;99;OHM Cycles;Standard;medium;medium
163;30;OHM Cycles;Standard;medium;medium
164;45;Trek Bicycles;Road;low;medium
165;90;Solex;Standard;low;medium
166;76;WeareA2B;Road;low;small
167;0;Giant Bicycles;Standard;medium;large
168;52;Solex;Road;medium;large
169;89;Giant Bicycles;Standard;medium;large
170;0;WeareA2B;Standard;medium;medium
171;88;Norco Bicycles;Standard;high;small
172;0;Solex;Road;medium;medium
173;41;Norco Bicycles;Standard;low;medium
174;95;OHM Cycles;Touring;low;medium
175;27;Trek Bicycles;Standard;low;medium
176;53;Giant Bicycles;Standard;high;medium
177;0;Norco Bicycles;Standard;medium;medium
178;100;Trek Bicycles;Standard;medium;small
179;0;WeareA2B;Standard;medium;small
180;50;Giant Bicycles;Standard;medium;medium
181;11;Trek Bicycles;Standard;medium;small
182;43;Norco Bicycles;Standard;medium;medium
183;23;Norco Bicycles;Standard;medium;medium
184;72;OHM Cycles;Standard;medium;medium
185;49;Solex;Standard;medium;large
186;33;OHM Cycles;Road;medium;small
187;0;Solex;Standard;medium;large
188;70;Norco Bicycles;Road;medium;medium
189;0;OHM Cycles;Road;medium;medium
